Cód.Cliente,Segmento,Ano,Mês,Volume de vendas (t),Preço de Venda Líquido (R$/t),Custos de produção (R$/t),Desconto Campanha (%),Período,Faturamento,Lucro Total
A,Construtora,2025,1,696.7052079141415,304,165,0.0,Antes da campanha,211798.383205899,96842.02390006567
B,Varejo,2025,1,763.2886910384714,268,163,0.0,Antes da campanha,204561.36919831033,80145.31255903949
C,Distribuidor,2025,1,543.035951306372,322,193,0.0,Antes da campanha,174857.57632065177,70051.63771852199
D,Construtora,2025,1,655.678638845247,250,171,0.0,Antes da campanha,163919.65971131175,51798.61246877451
E,Varejo,2025,1,700.6385377617235,321,192,0.0,Antes da campanha,224904.97062151323,90382.37137126233
F,Distribuidor,2025,1,439.9354982057352,324,196,0.0,Antes da campanha,142539.10141865822,56311.743770334106
G,Construtora,2025,1,235.69758313405376,322,174,0.0,Antes da campanha,75894.62176916531,34883.24230383996
H,Varejo,2025,1,191.38158519069225,339,200,0.0,Antes da campanha,64878.35737964467,26602.04034150622
I,Distribuidor,2025,1,167.85621919701742,389,149,0.0,Antes da campanha,65296.06926763978,40285.492607284184
J,Construtora,2025,1,261.6041858596426,280,124,0.0,Antes da campanha,73249.17204069992,40810.252994104245
K,Varejo,2025,1,102.41949515252402,339,155,0.0,Antes da campanha,34720.20885670564,18845.18710806442
L,Distribuidor,2025,1,414.30139636378806,379,165,0.0,Antes da campanha,157020.22922187566,88660.49882185065
M,Construtora,2025,1,625.705950390356,276,195,0.0,Antes da campanha,172694.84230773823,50682.18198161883
N,Varejo,2025,1,108.75498748847289,271,152,0.0,Antes da campanha,29472.601609376154,12941.843511128274
O,Distribuidor,2025,1,922.7418739374018,381,179,0.0,Antes da campanha,351564.6539701501,186393.85853535516
P,Construtora,2025,1,84.97283921367583,300,155,0.0,Antes da campanha,25491.851764102747,12321.061685982995
Q,Varejo,2025,1,792.1506816071056,323,151,0.0,Antes da campanha,255864.6701590951,136249.91723642216
R,Distribuidor,2025,1,825.9377849887168,348,163,0.0,Antes da campanha,287426.34917607345,152798.4902229126
S,Construtora,2025,1,502.5382191224633,392,112,0.0,Antes da campanha,196994.98189600563,140710.70135428972
T,Varejo,2025,1,375.40649392020873,320,161,0.0,Antes da campanha,120130.0780544668,59689.63253331319
U,Distribuidor,2025,1,275.20601461671055,362,146,0.0,Antes da campanha,99624.57729124922,59444.49915720948
V,Construtora,2025,1,248.4791294773987,316,182,0.0,Antes da campanha,78519.40491485798,33296.20334997142
X,Varejo,2025,1,390.64449494352317,293,161,0.0,Antes da campanha,114458.8370184523,51565.07333254506
A,Construtora,2025,2,787.2768849429798,304,165,0.0,Antes da campanha,239332.17302266587,109431.48700707419
B,Varejo,2025,2,686.9598219346243,268,163,0.0,Antes da campanha,184105.23227847932,72130.78130313555
C,Distribuidor,2025,2,619.060984489264,322,193,0.0,Antes da campanha,199337.63700554302,79858.86699911505
D,Construtora,2025,2,675.3489980106044,250,171,0.0,Antes da campanha,168837.2495026511,53352.57084283775
E,Varejo,2025,2,658.60022549602,321,192,0.0,Antes da campanha,211410.67238422242,84959.42908898658
F,Distribuidor,2025,2,444.33485318779253,324,196,0.0,Antes da campanha,143964.49243284477,56874.861208037444
G,Construtora,2025,2,238.0545589653943,322,174,0.0,Antes da campanha,76653.56798685697,35232.07472687836
H,Varejo,2025,2,174.15724252352996,339,200,0.0,Antes da campanha,59039.305215476656,24207.856710770666
I,Distribuidor,2025,2,166.17765700504725,389,149,0.0,Antes da campanha,64643.10857496338,39882.63768121134
J,Construtora,2025,2,266.83626957683543,280,124,0.0,Antes da campanha,74714.15548151392,41626.45805398633
K,Varejo,2025,2,111.63724971625119,339,155,0.0,Antes da campanha,37845.02765380916,20541.253947790217
L,Distribuidor,2025,2,410.1583824001502,379,165,0.0,Antes da campanha,155450.02692965692,87773.89383363214
M,Construtora,2025,2,600.6777123747416,276,195,0.0,Antes da campanha,165787.0486154287,48654.894702354075
N,Varejo,2025,2,96.79193886474087,271,152,0.0,Antes da campanha,26230.615432344777,11518.240724904164
O,Distribuidor,2025,2,1042.698317549264,381,179,0.0,Antes da campanha,397268.0589862696,210625.0601449513
P,Construtora,2025,2,85.82256760581258,300,155,0.0,Antes da campanha,25746.770281743775,12444.272302842825
Q,Varejo,2025,2,744.6216407106792,323,151,0.0,Antes da campanha,240512.7899495494,128074.92220223683
R,Distribuidor,2025,2,751.6033843397323,348,163,0.0,Antes da campanha,261557.97775022686,139046.62610285048
S,Construtora,2025,2,557.8174232259344,392,112,0.0,Antes da campanha,218664.42990456626,156188.87850326163
T,Varejo,2025,2,394.1768186162192,320,161,0.0,Antes da campanha,126136.58195719014,62674.114159978846
U,Distribuidor,2025,2,283.46219505521185,362,146,0.0,Antes da campanha,102613.31460998669,61227.83413192576
V,Construtora,2025,2,270.8422511303646,316,182,0.0,Antes da campanha,85586.15135719522,36292.86165146886
X,Varejo,2025,2,347.67360049973564,293,161,0.0,Antes da campanha,101868.36494642255,45892.91526596511
A,Construtora,2025,3,689.738155835,304,165,0.0,Antes da campanha,209680.39937384002,95873.603661065
B,Varejo,2025,3,755.6558041280866,268,163,0.0,Antes da campanha,202515.75550632723,79343.85943344909
C,Distribuidor,2025,3,543.035951306372,322,193,0.0,Antes da campanha,174857.57632065177,70051.63771852199
D,Construtora,2025,3,629.451493291437,250,171,0.0,Antes da campanha,157362.87332285926,49726.667970023525
E,Varejo,2025,3,686.625767006489,321,192,0.0,Antes da campanha,220406.87120908298,88574.72394383709
F,Distribuidor,2025,3,413.53936831339104,324,196,0.0,Antes da campanha,133986.7553335387,52933.03914411405
G,Construtora,2025,3,226.2696798086916,322,174,0.0,Antes da campanha,72858.83689839869,33487.912611686355
H,Varejo,2025,3,162.6743474120884,339,200,0.0,Antes da campanha,55146.60377269796,22611.73429028029
I,Distribuidor,2025,3,176.24903015686832,389,149,0.0,Antes da campanha,68560.87273102178,42299.7672376484
J,Construtora,2025,3,258.9881440010462,280,124,0.0,Antes da campanha,72516.68032029293,40402.150464163205
K,Varejo,2025,3,103.44369010404927,339,155,0.0,Antes da campanha,35067.4109452727,19033.638979145064
L,Distribuidor,2025,3,464.01756392744267,379,165,0.0,Antes da campanha,175862.65672850076,99299.75868047273
M,Construtora,2025,3,638.2200693981631,276,195,0.0,Antes da campanha,176148.73915389302,51695.82562125121
N,Varejo,2025,3,112.01763711312708,271,152,0.0,Antes da campanha,30356.77965765744,13330.098816462123
O,Distribuidor,2025,3,968.8789676342719,381,179,0.0,Antes da campanha,369142.8866686576,195713.55146212294
P,Construtora,2025,3,84.97283921367583,300,155,0.0,Antes da campanha,25491.851764102747,12321.061685982995
Q,Varejo,2025,3,839.679722503532,323,151,0.0,Antes da campanha,271216.55036864086,144424.9122706075
R,Distribuidor,2025,3,925.0503191873629,348,163,0.0,Antes da campanha,321917.5110772023,171134.30904966214
S,Construtora,2025,3,472.38592597511547,392,112,0.0,Antes da campanha,185175.28298224526,132268.05927303233
T,Varejo,2025,3,405.43901343382544,320,161,0.0,Antes da campanha,129740.48429882414,64464.80313597825
U,Distribuidor,2025,3,280.71013490904477,362,146,0.0,Antes da campanha,101617.0688370742,60633.38914035367
V,Construtora,2025,3,248.4791294773987,316,182,0.0,Antes da campanha,78519.40491485798,33296.20334997142
X,Varejo,2025,3,375.0187151457822,293,161,-0.03,Antes da campanha,109880.48353771419,49502.470399243255
A,Construtora,2025,4,703.672259993283,304,165,-0.03,Depois da campanha,213916.36703795803,97810.44413906633
B,Varejo,2025,4,664.0611612034701,268,163,-0.03,Depois da campanha,177968.39120252998,69726.42192636436
C,Distribuidor,2025,4,521.3145132541171,322,193,-0.03,Depois da campanha,167863.2732678257,67249.5722097811
