Nº Projeto;Nome Projeto;Unidade;Município;Nome do Indicador;Tipo de Agregacao;Meta100;Meta300;Meta500;RESULTADO CICLO;RESULTADO PREVISTO;META CICLO;Meta Ano 
604;ReDes Incubação - Pesca - São Félix/BA (Fazenda Pilar);Pedra do Cavalo;São Félix;Evolução na Régua de maturidade;Último Valor;2;3;4;0;3;0;300
605;ReDes Incubação - Pesca - Maragogipe/BA (Enseada);Pedra do Cavalo;Maragogipe;Evolução na Régua de maturidade;Último Valor;2;3;4;0;3;0;300
606;ReDes Negócios - Agricultura - Maragogipe/BA (São Roque);Pedra do Cavalo;Maragogipe;Quantidade de produtos da olericultura conforme implementação de quintais produtivos ;Acumular;1260;1575;1890;0;1575;0;300
607;ReDes Negócios - Ostras - Cachoeira/BA (Kaonge);Pedra do Cavalo;Cachoeira;Renda total gerada no projeto ;Último Valor; R$ 10.716,00 ; R$ 13.395,00 ; R$ 16.074,00 ;0;0;0;0
608;ReDes Incubação - Pesca -Cachoeira/BA (São Francisco);Pedra do Cavalo;Cachoeira;Evolução na Régua de maturidade;Último Valor;2;4;6;0;4;0;300
614;VIA - Fortalecimento CMDCA - Itapecerica da Serra/SP - Ano 2;Sudeste;Itapecerica da Serra;Avanço na Matriz de Competências;Último Valor;7;8;9;0;8;0;300
621;PVE Graduados - Cachoeira/BA - Ano 4;Pedra do Cavalo;Cachoeira;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
622;PVE Graduados - Maragogipe/BA - Ano 4;Pedra do Cavalo;Maragogipe;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
623;PVE Graduados - São Felix/BA - Ano 4;Pedra do Cavalo;São Félix;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
624;PVE Graduados - Primavera/PA - Ano 4;Nordeste;Primavera;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
642;PVE Graduados - Xambioá/TO - Ano 4;Centro-Norte;Xambioá;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
643;PVE Graduados - Trindade/PE - Ano 4;Nordeste;Trindade;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
644;PVE Graduados - Camaçari/BA -  Ano 4;Nordeste;Camaçari;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
645;PVE Graduados - Nobres/MT - Ano 4;Centro-Norte;Nobres;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
646;PVE - Salto do Pirapora/SP - Ano 2;Sudeste;Salto de Pirapora;Avanço na Matriz de Competências;Último Valor;7;8;9;8;8;300;300
647;ReDes Negócios -  Mulheres Marisqueiras - Maragogipe/BA;Pedra do Cavalo;Maragogipe;Renda total gerada no projeto ;Acumular; R$ 41.966,00 ; R$ 52.458,00 ; R$ 62.950,00 ; R$ 28.137,55 ; R$ 41.966,00 ;0;100
648;ReDes Negócios - Força Quilombola do Dendê - Maragogipe/BA;Pedra do Cavalo;Maragogipe;Renda total gerada no projeto ;Acumular; R$ 47.971,00 ; R$ 59.964,00 ; R$ 71.956,00 ; R$ 24.110,60 ; R$ 47.971,00 ;0;100
649;ReDes Negócios - Galinheiros do Tabuleiro - Maragogipe/BA;Pedra do Cavalo;Maragogipe;Renda total gerada no projeto ;Acumular; R$ 43.279,00 ; R$ 54.099,00 ; R$ 64.919,00 ; R$ 29.641,45 ; R$ 54.099,00 ;0;300
678;AGP Saúde - Xambioá/TO - Ano 2;Centro-Norte;Xambioá;Avanço na Matriz de Competências;Último Valor;4;5;6;5;5;300;300
679;AGP Saúde - Primavera/PA - Ano 3;Nordeste;Primavera;Avanço na Matriz de Competências;Último Valor;5;6;7;5;6;100;300
680;PVE Graduados - Capanema/PA - Ano 4;Nordeste;Capanema;Avanço na Matriz de Competências ;Último Valor;7;8;9;8;8;300;300
682; Engaja - Pedra do Cavalo/BA - Ano 9;Pedra do Cavalo;Cachoeira;Stakeholders que se mantiveram ou evoluiram na matriz de colaboração ;Último Valor;70;80;90;0;80;0;300
700;AGP Saúde - Rio Branco do Sul/PR - Ano 1;Sul;Rio Branco do Sul;Avanço na Matriz de Competências;Último Valor;6;7;8;5;7;0;300
725;AGP Segurança Alimentar e Nutricional nas Escolas - Cachoeira/BA Ano 1;Pedra do Cavalo;Cachoeira;"Elaboração do mapeamento de produtos e produtores locais; realização de mentorias junto aos servidores públicos; e realização de oficina(s) junto a pequenos agricultores.";Último Valor;80;100;120;0;100;0;300
727;Plano de Relacionamento com Comunidade - Corumbá;Centro-Norte;Corumbá;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
727;Plano de Relacionamento com Comunidade - Corumbá;Centro-Norte;Corumbá;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;0;0;0
727;Plano de Relacionamento com Comunidade - Corumbá;Centro-Norte;Corumbá;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;0;0;0
727;Plano de Relacionamento com Comunidade - Corumbá;Centro-Norte;Corumbá;Número de voluntários;Último Valor;10;12;14;0;0;0;0
728;Plano de Relacionamento com Comunidade - Cuiabá;Centro-Norte;Cuiabá;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
728;Plano de Relacionamento com Comunidade - Cuiabá;Centro-Norte;Cuiabá;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;0;0;0
728;Plano de Relacionamento com Comunidade - Cuiabá;Centro-Norte;Cuiabá;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;24;30;36;0;0;0;0
728;Plano de Relacionamento com Comunidade - Cuiabá;Centro-Norte;Cuiabá;Número de voluntários;Último Valor;17;21;24;0;0;0;0
729;Plano de Relacionamento com Comunidade - Edealina;Centro-Norte;Edealina;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
729;Plano de Relacionamento com Comunidade - Edealina;Centro-Norte;Edealina;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;0;0;0
729;Plano de Relacionamento com Comunidade - Edealina;Centro-Norte;Edealina;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;24;30;36;0;0;0;0
