Ano;Regional;Estado;Município;Negócio;Unidade;Nome do projeto;Tecnologia;Categoria;Tipo;Cadastro GIS;ID GIS
2025.0;CN;Mato Grosso;Cuiabá;Cimentos;Unidade Cuiabá;Evoluir Pocket- Qualificação de Mão de Obra ;Qualificação de mão de obra;Conexão com negócio;Local;Pendente;
2025.0;CN;Mato Grosso do Sul;Corumbá;Cimentos;Unidade Corumbá;Evoluir Pocket - Qualificação de Mão de Obra ;Qualificação de mão de obra;Conexão com negócio;Local;Pendente;
2025.0;CN;;;;Regional;PVE Recurso Local;PVE - Recurso Local;Gestão;Local;;
2025.0;CN;;;;Regional;Voluntariado;Voluntariado;Relacionamento;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Voluntariado: Espaços Públicos (Medelin, parceria com outras empresas, marco 2025);Habitação;Conexão com negócio;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Reforma VC - Diversidade;Reforma VC;Conexão com negócio;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Água Camelo;Água e saneamento;Conexão com negócio;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Viter e parceria Citrosuco;Rede Transformar;Conexão com negócio;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Habita VC: Construção de cisternas;Rede Transformar;Conexão com negócio;Local;Pendente;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Habita VC: Escola da Cidade;Habitação;Conexão com negócio;Local;Pendente;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Habita VC: Brigadas de Voluntariado (Comuta e Habitat);Habitação;Conexão com negócio;Local;Pendente;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Habita VC: Cimentando o Futuro;Habitação;Conexão com negócio;Local;Pendente;866
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Habita VC: Coalizão pela Habitação;Habitação;Conexão com negócio;Local;Pendente;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Logística do voluntariado;Gestão do voluntariado;Gestão;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Use e Reuse;Use e Reuse;Conexão com negócio;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Manutenção do canal de queixas e reclamações;Gestão;Relacionamento;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Desdobramento da estratégia global de voluntariado;Voluntariado;Relacionamento;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Rede Transformar - Gestão SITAWI e Prosas;Rede Transformar;Gestão;Local;;
2025.0;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Voluntariado global - Sistema;Gestão do voluntariado;Gestão;Local;;
2025.0;NE;Bahia;Camaçari;Argamassa;Unidade Camaçari;Evoluir ;Qualificação de mão de obra;Conexão com negócio;Local;OK;1021
2025.0;NE;Ceará;Caucaia;Cimentos;Unidade Pecém;Evoluir;Qualificação de mão de obra;Conexão com negócio;Local;Pendente;Pendente
2025.0;NE;Ceará;Sobral;Cimentos;Unidade Cearense Sobral;Evoluir;Qualificação de mão de obra;Conexão com negócio;Local;OK;1023
2025.0;NE;Maranhão;São Luís;Cimentos;Unidade São Luís;Evoluir;Qualificação de mão de obra;Conexão com negócio;Local;OK;1022
2025.0;NE;Pará;Primavera;Cimentos;Unidade Primavera;Evoluir;Qualificação de mão de obra;Conexão com negócio;Local;OK;1020
2025.0;NE;Pernambuco;Paulista;Cimentos;Unidade Poty Paulista;Evoluir;Qualificação de mão de obra;Conexão com negócio;Local;Pendente;Pendente
2025.0;NE;Sergipe;Laranjeiras;Cimentos;Unidade Cimesa;Evoluir;Qualificação de mão de obra;Conexão com negócio;Local;OK;1019
2025.0;NE;Pará;Primavera;Cimentos;Unidade Primavera;AGP Saúde;AGP - Saúde;Desenvolvimento local;IV;;679
2025.0;NE;Bahia;Camaçari;Argamassa;Unidade Camaçari;PVE;PVE;Desenvolvimento local;IV;;644
2025.0;NE;Pará;Capanema;Cimentos;Unidade Primavera;PVE;PVE;Desenvolvimento local;IV;;680
2025.0;NE;Pará;Primavera;Cimentos;Unidade Primavera;PVE;PVE;Desenvolvimento local;IV;;624
2025.0;NE;Pernambuco;Trindade;Cimentos;Mineradora Ponta da Serra;PVE;PVE;Desenvolvimento local;IV;;643
2025.0;NE;Pará;Primavera;Cimentos;Unidade Primavera;Valor VC - Apicultura;Valor VC;Desenvolvimento local;Local;OK;745
2025.0;NE;Pará;Primavera;Cimentos;Unidade Primavera;Valor VC Castanha;Valor VC;Desenvolvimento local;Local;OK;746
2025.0;NE;Pará;Primavera;Cimentos;Unidade Primavera;Valor VC Siquiriba;Valor VC;Desenvolvimento local;Local;OK;747
2025.0;NE;Sergipe;Laranjeiras;Cimentos;Unidade Cimesa;Valor VC;Valor VC;Desenvolvimento local;Local;OK;1032
2025.0;NE;Ceará;Sobral;Cimentos;Unidade Cearense Sobral;Conselho Comunitário;Conselho Comunitário;Relacionamento;Local;OK;740
2025.0;NE;Pará;Primavera;Cimentos;Unidade Primavera;Conselho Comunitário;Conselho Comunitário;Relacionamento;Local;OK;748
2025.0;NE;Bahia;Camaçari;Argamassa;Unidade Camaçari;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;739
2025.0;NE;Pará;Ananindeua;Argamassa;Unidade Ananindeua;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;738
2025.0;NE;Alagoas;Arapiraca;Centro de Distribuição;CD Arapiraca;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;Pendente;Pendente
2025.0;NE;Bahia;Feira de Santana;Centro de Distribuição;CD Feira de Santana;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;Pendente;Pendente
2025.0;NE;Ceará;Fortaleza;Centro de Distribuição;CD Aracapé;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;Pendente;Pendente
2025.0;NE;Pernambuco;Caruaru;Centro de Distribuição;CD Caruaru;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;Pendente;Pendente
2025.0;NE;Pernambuco;Petrolina;Centro de Distribuição;CD Petrolina;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;Pendente;Pendente
2025.0;NE;Ceará;Caucaia;Cimentos;Unidade Pecém;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;1031
2025.0;NE;Ceará;Sobral;Cimentos;Unidade Cearense Sobral;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;741
2025.0;NE;Maranhão;São Luís;Cimentos;Unidade São Luís;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;750
2025.0;NE;Pará;Primavera;Cimentos;Unidade Primavera;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;749
2025.0;NE;Pernambuco;Paulista;Cimentos;Unidade Poty Paulista;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;744
2025.0;NE;Pernambuco;Trindade;Cimentos;Mineradora Ponta da Serra;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;737
2025.0;NE;Sergipe;Laranjeiras;Cimentos;Unidade Cimesa;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;OK;743
2025.0;NE;Ceará;Caucaia;Cimentos;Unidade Pecém;Chá Tecnológico e Social Itinerante - 3ª edição - Idear;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;NE;Ceará;Caucaia;Cimentos;Unidade Pecém;Projeto Judo - Educando e Formando Cidadão;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;NE;Ceará;Caucaia;Cimentos;Unidade Pecém;Menina Olímpica;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;NE;Ceará;Caucaia;Cimentos;Unidade Pecém;Programando e Aprendendo;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;NE;Ceará;Sobral;Cimentos;Unidade Cearense Sobral;Chá Tecnológico Social e Itinerante;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;NE;Ceará;Sobral;Cimentos;Unidade Cearense Sobral;Projeto Vida nas Teias da Cultura;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;NE;;;;Regional;Voluntariado;Voluntariado;Relacionamento;Local;;
2025.0;NE;Ceará;Sobral;Cimentos;Unidade Cearense Sobral;PRONAS E PRONON;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;SE;Minas Gerais;Itaú de Minas;Fazendas;Fazenda São Miguel;Itaú Agro;Cadeias produtivas;Conexão com negócio;Local;;
2025.0;SE;;;;Regional;Evoluir ;Recurso para alimentação - Evoluir;Conexão com negócio;Local;;
2025.0;SE;;;;Regional;PVE;PVE - Recurso Local;Desenvolvimento local;Local;;
2025.0;SE;;;;Regional;VIA - CMDCA;Gestão;Desenvolvimento local;Local;;
2025.0;SE;;;;Regional;Voluntariado;Voluntariado;Relacionamento;Local;;
2025.0;SE;São Paulo;Itapecerica da Serra;Agregados;Unidade Itapecerica da Serra;VIA - CMDCA;VIA - Fortalecimento CMDCA;Desenvolvimento local;IV;;614
2025.0;SE;Minas Gerais;Itaú de Minas;Cimentos;Unidade Itaú de Minas;Itaú Sustentável;Restauração florestal;Conexão com negócio;Local;Pendente;781
2025.0;SE;São Paulo;Ribeirão Grande;Cimentos;Unidade Ribeirão Grande;Agricultura Sustentável;Valor VC;Conexão com negócio;Local;Pendente;775
2025.0;SE;São Paulo;Salto de Pirapora;Cimentos;Unidade Salto de Pirapora;PVE;PVE;Desenvolvimento local;IV;;646
2025.0;SE;São Paulo;Salto de Pirapora;Cimentos;Unidade Salto de Pirapora;Evoluir ;Qualificação de mão de obra;Conexão com negócio;Local;OK;779
2025.0;SUL;Paraná;Itaperuçu;Cimentos;Unidade Rio Branco do Sul;Geração Z;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;SUL;Rio Grande do Sul;Esteio;Cimentos;Unidade Esteio;PISEG RS;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;SUL;Rio Grande do Sul;Canoas;Concreto;Filial Canoas;PISEG RS;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;SUL;Rio Grande do Sul;Pinheiro Machado;Cimentos;Unidade Pinheiro Machado;PISEG RS;Projeto incentivado;Relacionamento;Incentivado;;
2025.0;SUL;Rio Grande do Sul;Esteio;Cimentos;Unidade Esteio;AGP Clima;AGP - Clima;Desenvolvimento local;IV;OK;681
2025.0;SUL;Paraná;Rio Branco do Sul;Cimentos;Unidade Rio Branco do Sul;Evoluir QualiMob Mineração;Qualificação de mão de obra;Conexão com negócio;Local;Pendente;
2025.0;SUL;Rio Grande do Sul;Canoas;Concreto;Filial Canoas;Regenera RS;Qualificação de mão de obra;Conexão com negócio;Local;Pendente;883
2025.0;SUL;Rio Grande do Sul;Canoas;Concreto;Filial Canoas;Reforma VC;Reforma VC;Conexão com negócio;Local;Pendente;
2025.0;SUL;Santa Catarina;Imbituba;Porto ;Porto Imbituba;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;Pendente;884
2025.0;SUL;Santa Catarina;Imbituba;Cimentos;Unidade Imbituba;Plano de Relacionamento com Comunidade;Plano de Relacionamento com Comunidade;Relacionamento;Local;Pendente;884
2025.0;SUL;-;;;Regional;Voluntariado;Voluntariado;Relacionamento;Local;;
2025.0;PdC;Bahia;Cachoeira;Usina hidrelétrica;UHE Pedra do Cavalo;PVE - Cachoeira;PVE;Desenvolvimento local;IV;;621
2025.0;PdC;Bahia;São Félix;Usina hidrelétrica;UHE Pedra do Cavalo;PVE - São Félix;PVE;Desenvolvimento local;IV;;623
2025.0;PdC;Bahia;Maragogipe;Usina hidrelétrica;UHE Pedra do Cavalo;PVE - Maragogipe;PVE;Desenvolvimento local;IV;;622
2025.0;PdC;Bahia;Maragogipe;Usina hidrelétrica;UHE Pedra do Cavalo;ReDes - Cultivando Ostras ;Redes - Incubação;Desenvolvimento local;IV;;607
2025.0;PdC;Bahia;Maragogipe;Usina hidrelétrica;UHE Pedra do Cavalo;ReDes - Força Quilombola do Dendê ;Redes - Negócios;Desenvolvimento local;IV;;648
2025.0;PdC;Bahia;Cachoeira;Usina hidrelétrica;UHE Pedra do Cavalo;ReDes - Mulheres Marisqueiras ;Redes - Negócios;Desenvolvimento local;IV;;647
2025.0;PdC;Bahia;Cachoeira;Usina hidrelétrica;UHE Pedra do Cavalo;ReDes - Tabuleiro da Vitória ;Redes - Negócios;Desenvolvimento local;IV;;
2025.0;PdC;Bahia;Cachoeira;Usina hidrelétrica;UHE Pedra do Cavalo;Qualificação de Organizações ;Qualificação de organizações;Desenvolvimento local;IV;;
2025.0;PdC;Bahia;São Félix;Usina hidrelétrica;UHE Pedra do Cavalo;Qualificação de Organizações ;Qualificação de organizações;Desenvolvimento local;IV;;
2025.0;PdC;Bahia;Maragogipe;Usina hidrelétrica;UHE Pedra do Cavalo;Qualificação de Organizações ;Qualificação de organizações;Desenvolvimento local;IV;;
2025.0;PdC;Bahia;Cachoeira;Usina hidrelétrica;UHE Pedra do Cavalo;Engaja;Engajamento e Diálogo;Relacionamento;IV;;682
2025.0;PdC;Bahia;São Félix;Usina hidrelétrica;UHE Pedra do Cavalo;Engaja;Engajamento e Diálogo;Relacionamento;IV;;682
2025.0;PdC;Bahia;Maragogipe;Usina hidrelétrica;UHE Pedra do Cavalo;Engaja;Engajamento e Diálogo;Relacionamento;IV;;682
2025.0;PdC;Bahia;Cachoeira;Usina hidrelétrica;UHE Pedra do Cavalo;Geração de renda para pescadores ;Redes - Entrada;Desenvolvimento local;IV;;608
2025.0;PdC;Bahia;São Félix;Usina hidrelétrica;UHE Pedra do Cavalo;Geração de renda para pescadores ;Redes - Entrada;Desenvolvimento local;IV;;604
2025.0;PdC;Bahia;Maragogipe;Usina hidrelétrica;UHE Pedra do Cavalo;Geração de renda para pescadores ;Redes - Entrada;Desenvolvimento local;IV;;605
2025.0;PdC;Bahia;Cachoeira;Usina hidrelétrica;UHE Pedra do Cavalo;Educação Ambiental ;Educação Ambiental;Conexão com negócio;IV;;
2025.0;PdC;Bahia;São Félix;Usina hidrelétrica;UHE Pedra do Cavalo;Educação Ambiental ;Educação Ambiental;Conexão com negócio;IV;;
2025.0;PdC;Bahia;Maragogipe;Usina hidrelétrica;UHE Pedra do Cavalo;Educação Ambiental ;Educação Ambiental;Conexão com negócio;IV;;
2025.0;PdC;Bahia;Governador Mangabeira;Usina hidrelétrica;UHE Pedra do Cavalo;Educação Ambiental ;Educação Ambiental;Conexão com negócio;IV;;
2025.0;PdC;Bahia;Cachoeira;Usina hidrelétrica;UHE Pedra do Cavalo;Programa Portas Abertas ;Plano de Relacionamento com Comunidade;Relacionamento;Local;Pendente;
