Ano;Centro de custo;Regional;Estado;Município;Negócio;Unidade;Nome do projeto;Tecnologia;Temas prioritários;Categoria;Tipo;Carry over?;Possibilidade de corte ?;Conta como iniciativa ?;Valor voluntário VC;Valor incentivado/condicionante;Valor contrapartida/alavancado;Valor total;Cadastro GIS;ID GIS;1° monitoramento;3° Monitoramento;PROCX 
2025;4VP642;CN;Mato Grosso;Cuiabá;Cimentos;Unidade Cuiabá;Evoluir Pocket- Qualificação de Mão de Obra ;Qualificação de mão de obra;Educação profissionalizante;Conexão com negócio;Local;Não;Não;1;30.000,00;0,00;0,00;30.000,00;Pendente;;;;0,00
2025;4VP642;CN;Mato Grosso do Sul;Corumbá;Cimentos;Unidade Corumbá;Evoluir Pocket - Qualificação de Mão de Obra ;Qualificação de mão de obra;Educação profissionalizante;Conexão com negócio;Local;Não;Não;1;0,00;0,00;0,00;0,00;Pendente;;;;0,00
2025;4VP642;CN;;;;Regional;PVE Recurso Local;PVE - Recurso Local;Gestão;Gestão;Local;Sim;Não;0;29.216,25;0,00;0,00;29.216,25;N/A;N/A;;;0,00
2025;4VP642;CN;;;;Regional;Voluntariado;Voluntariado;Voluntariado;Relacionamento;Local;Sim;Não;1;63.000,00;0,00;0,00;63.000,00;N/A;N/A;;;0,00
2025;4VP642;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Voluntariado: Espaços Públicos (Medelin, parceria com outras empresas, marco 2025);Habitação;Habitação;Conexão com negócio;Local;Não;Sim;1;60.000,00;0,00;0,00;60.000,00;N/A;N/A;;;0,00
2025;4VP642;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Reforma VC - Diversidade;Reforma VC;Habitação;Conexão com negócio;Local;Não;Sim;1;70.000,00;0,00;0,00;70.000,00;N/A;N/A;;;0,00
2025;4VP642;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Água Camelo;Água e saneamento;Água e Saneamento;Conexão com negócio;Local;Não;Sim;1;150.000,00;0,00;0,00;150.000,00;N/A;N/A;;;0,00
2025;4VP642;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Viter e parceria Citrosuco;Rede Transformar;Inclusão produtiva;Conexão com negócio;Local;Não;Sim;1;100.000,00;0,00;100.000,00;200.000,00;N/A;N/A;;;0,00
2025;4VP642;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Habita VC: Construção de cisternas;Rede Transformar;Habitação;Conexão com negócio;Local;Sim;Não;1;220.000,00;0,00;300.000,00;520.000,00;Pendente;N/A;;;0,00
2025;4VP642;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Habita VC: Escola da Cidade;Habitação;Habitação;Conexão com negócio;Local;Sim;Não;1;0,00;0,00;0,00;0,00;Pendente;N/A;;;0,00
2025;4VP642;Corporativo;São Paulo;São Paulo;Escritório;Centro Corporativo São Paulo;Habita VC: Brigadas de Voluntariado (Comuta e Habitat);Habitação;Habitação;Conexão com negócio;Local;Sim;Não;1;170.000,00;0,00;0,00;170.000,00;Pendente;N/A;;;0,00
